,station_name,matched_station,naptanID
0,Angel,Angel,940GZZLUAGL
1,Dalston Junction,,
2,Caledonian Road,Caledonian Road,940GZZLUCAR
3,Victoria,Victoria,940GZZLUVIC
4,Camden Road,Camden Town,940GZZLUCTN
5,Essex Road,,
6,Highbury & Islington,Highbury & Islington,940GZZLUHAI
7,Battersea Power Underground,Battersea Power Station,940GZZBPSUST
8,Sloane Square,Sloane Square,940GZZLUSSQ
9,Bermondsey,Bermondsey,940GZZLUBMY
10,Rotherhithe,,
11,Kings Cross Thameslink,King's Cross St. Pancras Underground Station,940GZZLUKSX
12,St. James's Park,St. James's Park,940GZZLUSJP
13,Vauxhall,Vauxhall,940GZZLUVXL
14,Dalston Kingsland,,
15,Wapping,,
16,Limehouse,Limehouse,9400ZZDLLIM
17,Caledonian Road & Barnsbury,Caledonian Road,940GZZLUCAR
18,Tower Gateway,Tower Gateway,9400ZZDLTWG
19,Tower Hill,Tower Hill,940GZZLUTWH
20,King's Cross,King's Cross St. Pancras Underground Station,940GZZLUKSX
21,Haggerston,,
22,Canonbury,,
23,Old Street,Old Street,940GZZLUODS
24,Hoxton,,
25,Pimlico,Pimlico,940GZZLUPCO
26,Shadwell,Shadwell,9400ZZDLSHA
27,Shoreditch High Street,Stratford High Street,9400ZZDLSHS
28,King's Cross St. Pancras,King's Cross St. Pancras,940GZZLUKSX
29,Nine Elms,Nine Elms,940GZZNEUGST
